"Идентификатор пользователя","Название приюта","Дата/время платежа","Наименование услуги","Сумма платежа"
27448,"Приют для кошек ""Потеряшка""",2019-09-28 02:41:12,Порция вкуснейшего корма,39
27448,Добрые сердца,2019-09-28 02:41:12,Порция вкуснейшего корма,36
27670,Центральный приют Спб для бездомных кошек!,2019-09-28 08:08:29,Повысить иммунитет,55
27670,Центральный приют Спб для бездомных кошек!,2019-09-28 08:08:29,Шприцы,11
6194,"Приют для кошек ""Потеряшка""",2019-09-28 10:35:16,"1 КотоДень",104
6194,Добрые сердца,2019-09-28 10:35:16,КотоДень,99
28039,Центральный приют Спб для бездомных кошек!,2019-09-28 10:49:56,Дневная порция вкуснейшего корма,61
28039,Центральный приют Спб для бездомных кошек!,2019-09-28 10:49:56,Повысить иммунитет,500
4955,Центральный приют Спб для бездомных кошек!,2019-09-28 12:26:27,"1 КотоДень",98
23385,Мокрый нос,2019-09-28 12:38:28,"1 ПёсоДень",145
23385,"4 лапы",2019-09-28 12:38:28,ПёсоДень,155
25457,"Самарский приют для животных ""НадеждА""",2019-09-28 12:44:33,Избавить питомца от глистов,475
27974,Мокрый нос,2019-09-28 12:45:19,"1 ПёсоДень",145
27895,"Самарский приют для животных ""НадеждА""",2019-09-28 13:28:57,"1 КотоДень",105
27895,"Самарский приют для животных ""НадеждА""",2019-09-28 13:28:57,"1 КотоДень",105
27895,"Самарский приют для животных ""НадеждА""",2019-09-28 13:28:57,Рекламировать питомца (пакет Mini),78
27895,Центральный приют Спб для бездомных кошек!,2019-09-28 13:28:57,"1 КотоДень",98
27895,Центральный приют Спб для бездомных кошек!,2019-09-28 13:28:57,Рекламировать питомца (пакет Mini),78
27895,Центральный приют Спб для бездомных кошек!,2019-09-28 13:28:57,"1 КотоДень",98
27895,Лёхин дом,2019-09-28 13:28:57,"1 КотоДень",116
27895,Добрые сердца,2019-09-28 13:31:30,КотоДень,99
27895,Добрые сердца,2019-09-28 13:31:30,Рекламировать питомца (пакет Mini),78
24889,Люськин дом,2019-09-28 13:33:57,"1 КотоДень",97
24889,Люськин дом,2019-09-28 13:33:57,"1 КотоДень",97
24889,Люськин дом,2019-09-28 13:33:57,"1 КотоДень",97
27895,"Самарский приют для животных ""НадеждА""",2019-09-28 13:36:23,"1 КотоДень",105
27895,"Самарский приют для животных ""НадеждА""",2019-09-28 13:36:23,Рекламировать питомца (пакет Mini),78
27895,"Кошачий приют ""ДОМИК""",2019-09-28 13:36:23,КотоДень,67
27895,Центральный приют Спб для бездомных кошек!,2019-09-28 13:43:00,Повысить иммунитет,500
27895,Центральный приют Спб для бездомных кошек!,2019-09-28 13:43:00,Шприцы,800
27655,"Самарский приют для животных ""НадеждА""",2019-09-28 15:32:14,Профилактическое обследование,578
4261,"Самарский приют для животных ""НадеждА""",2019-09-28 16:28:06,Корм с курицей и рисом ,50
24515,"Самарский приют для животных ""НадеждА""",2019-09-28 20:18:41,Профилактическое обследование,100
24515,"Самарский приют для животных ""НадеждА""",2019-09-28 20:18:41,"1 КотоДень",105
24515,"Самарский приют для животных ""НадеждА""",2019-09-28 20:18:41,Биохимический анализ крови,100
27769,Лаюшки и Мяушки,2019-09-28 21:44:01,Избавить питомца от глистов,500
27895,Центральный приют Спб для бездомных кошек!,2019-09-28 22:50:07,Повысить иммунитет,3250
24726,Котофей,2019-09-29 01:26:05,"1 КотоДень",87
24726,Котофей,2019-09-29 01:26:05,Рекламировать питомца (пакет Mini),78
25849,"Самарский приют для животных ""НадеждА""",2019-09-29 01:30:32,"1 КотоДень",105
25849,"Самарский приют для животных ""НадеждА""",2019-09-29 01:30:32,Биохимический анализ крови,150
25849,Котофей,2019-09-29 01:30:32,"1 КотоДень",87
23234,Добрые сердца,2019-09-29 09:11:52,Порция вкуснейшего корма,36
23234,Добрые сердца,2019-09-29 09:11:52,Порция вкуснейшего корма,36
27918,Мокрый нос,2019-09-29 09:16:33,"1 ПёсоДень",145
27918,Центральный приют Спб для бездомных кошек!,2019-09-29 09:16:33,"1 КотоДень",98
27918,Лёхин дом,2019-09-29 09:16:33,Порция корма ,100
27918,Добрые сердца,2019-09-29 09:16:33,КотоДень,99
27918,Матроскин,2019-09-29 09:21:09,КотоДень,98
27655,"Кошачий приют ""ДОМИК""",2019-09-29 09:23:13,КотоНеделя,620
27655,"Кошачий приют ""ДОМИК""",2019-09-29 09:23:13,КотоДень,67
27655,Центральный приют Спб для бездомных кошек!,2019-09-29 09:23:13,"1 КотоДень",98
27655,Лёхин дом,2019-09-29 09:23:13,"1 КотоДень",116
971,Котофей,2019-09-29 09:33:37,"1 КотоДень",87
27655,"Приют для кошек ""Потеряшка""",2019-09-29 10:02:25,"1 КотоДень",104
28012,"Самарский приют для животных ""НадеждА""",2019-09-29 11:08:46,Избавить питомца от блох,100
28012,Мокрый нос,2019-09-29 11:08:46,"1 ПёсоДень",145
27956,Мокрый нос,2019-09-29 11:25:54,"1 ПёсоДень",145
27704,"Самарский приют для животных ""НадеждА""",2019-09-29 11:37:04,Избавить питомца от глистов,100
27704,"Самарский приют для животных ""НадеждА""",2019-09-29 11:37:04,Избавить питомца от блох,100
27704,Котофей,2019-09-29 11:37:04,Стерилизация,100
27704,Добрые сердца,2019-09-29 11:37:04,КотоДень,99
23469,Матроскин,2019-09-29 11:49:26,КотоДень,98
23469,Матроскин,2019-09-29 11:49:26,КотоДень,98
23469,Мокрый нос,2019-09-29 11:49:26,"1 ПёсоДень",145
23469,Кот и Пёс,2019-09-29 11:49:26,Рекламировать питомца (пакет Mini),78
23469,Кот и Пёс,2019-09-29 11:49:26,Рекламировать питомца (пакет Mini),78
23469,Котофей,2019-09-29 11:49:26,"1 КотоДень",87
28039,Котофей,2019-09-29 12:37:41,"1 КотоДень",87
28039,Центральный приют Спб для бездомных кошек!,2019-09-29 12:41:01,Биохимический анализ крови,100
28041,Котофей,2019-09-29 19:39:25,"1 КотоДень",87
27402,Центральный приют Спб для бездомных кошек!,2019-09-29 19:41:15,Биохимический анализ крови,526
27895,"Самарский приют для животных ""НадеждА""",2019-09-29 19:58:57,"1 КотоДень",105
27895,"Самарский приют для животных ""НадеждА""",2019-09-29 19:58:57,"1 КотоДень",105
27895,"Кошачий приют ""ДОМИК""",2019-09-29 19:58:57,КотоДень,67
27895,Центральный приют Спб для бездомных кошек!,2019-09-29 19:58:57,"1 КотоДень",98
27895,Центральный приют Спб для бездомных кошек!,2019-09-29 19:58:57,Профилактическое обследование,500
27895,Лёхин дом,2019-09-29 19:58:57,"1 КотоДень",116
27895,Убежище,2019-09-29 19:58:57,"1 КотоДень",118
27895,Котофей,2019-09-29 19:58:57,"1 КотоДень",87
27895,Котофей,2019-09-29 19:58:57,"1 КотоДень",87
27895,"Самарский приют для животных ""НадеждА""",2019-09-29 20:03:21,"1 КотоДень",105
27895,"Самарский приют для животных ""НадеждА""",2019-09-29 20:03:21,Биохимический анализ крови,300
27895,"Приют для кошек ""Потеряшка""",2019-09-29 20:06:32,"1 КотоДень",104
27895,"Приют для кошек ""Потеряшка""",2019-09-29 20:06:32,Рекламировать питомца (пакет Mini),78
27895,"Самарский приют для животных ""НадеждА""",2019-09-29 20:14:48,"1 КотоДень",105
27895,"Самарский приют для животных ""НадеждА""",2019-09-29 20:14:48,Рекламировать питомца (пакет Mini),78
27895,"Кошачий приют ""ДОМИК""",2019-09-29 20:14:48,КотоДень,67
27311,"Самарский приют для животных ""НадеждА""",2019-09-29 20:25:10,Профилактическое обследование,100
27311,"Самарский приют для животных ""НадеждА""",2019-09-29 20:25:10,Биохимический анализ крови,100
28042,Лаюшки и Мяушки,2019-09-29 21:38:40,Избавить питомца от глистов,200
26745,"Самарский приют для животных ""НадеждА""",2019-09-29 22:09:14,Избавить питомца от глистов,255
26745,Центральный приют Спб для бездомных кошек!,2019-09-29 22:12:55,Профилактическое обследование,200
26139,"Кошачий приют ""ДОМИК""",2019-09-29 22:51:28,КотоДень,67
26139,"Кошачий приют ""ДОМИК""",2019-09-29 22:51:28,Наполнитель для туалета,20
26139,"Кошачий приют ""ДОМИК""",2019-09-29 22:51:28,Рекламировать питомца (пакет Standart),155
26586,Матроскин,2019-09-30 08:43:49,КотоНеделя,825
26586,Центральный приют Спб для бездомных кошек!,2019-09-30 08:43:49,"1 КотоНеделя",870
26586,Убежище,2019-09-30 08:43:49,"1 КотоНеделя",937
26586,Мокрый нос,2019-09-30 08:53:07,"1 ПёсоДень",145
26586,"Приют для кошек ""ЯрКот""",2019-09-30 08:54:10,Порция вкуснейшего корма,34
28043,"Кошачий приют ""ДОМИК""",2019-09-30 09:57:07,КотоДень,67
28043,"Кошачий приют ""ДОМИК""",2019-09-30 09:57:07,Наполнитель для туалета,20
28043,"Кошачий приют ""ДОМИК""",2019-09-30 09:57:07,Рекламировать питомца (пакет Mini),78
28043,"Кошачий приют ""ДОМИК""",2019-09-30 10:03:10,КотоДень,67
28043,"Кошачий приют ""ДОМИК""",2019-09-30 10:03:10,Наполнитель для туалета,20
28043,"Кошачий приют ""ДОМИК""",2019-09-30 10:03:10,Рекламировать питомца (пакет Mini),78
25216,"4 лапы",2019-09-30 10:16:31,ПёсоМесяц,3100
6236,Матроскин,2019-09-30 10:17:02,КотоДень,98
6236,Люськин дом,2019-09-30 10:17:02,"1 КотоДень",97
6236,Убежище,2019-09-30 10:17:02,"1 КотоДень",118
6236,Котофей,2019-09-30 10:17:02,"1 КотоДень",87
4885,"Приют для кошек ""Потеряшка""",2019-09-30 12:36:30,"1 КотоНеделя",870
27217,"Приют для кошек ""Потеряшка""",2019-09-30 12:37:28,"1 КотоДень",104
27217,"Приют для кошек ""Потеряшка""",2019-09-30 12:37:28,Наполнитель для туалета,20
2065,"Приют для кошек ""Потеряшка""",2019-09-30 12:41:12,"1 КотоДень",104
2065,"Приют для кошек ""Потеряшка""",2019-09-30 12:41:12,Наполнитель для туалета,20
27217,"Приют для кошек ""Потеряшка""",2019-09-30 12:41:59,"1 КотоДень",104
27217,"Приют для кошек ""Потеряшка""",2019-09-30 12:41:59,Наполнитель для туалета,20
1547,"Самарский приют для животных ""НадеждА""",2019-09-30 12:42:31,Рекламировать питомца (пакет Mini),78
1547,"Самарский приют для животных ""НадеждА""",2019-09-30 12:42:31,"1 КотоДень",105
1547,"Самарский приют для животных ""НадеждА""",2019-09-30 12:42:31,"1 КотоДень",105
1547,"Кошачий приют ""ДОМИК""",2019-09-30 12:42:31,КотоДень,67
1547,Люськин дом,2019-09-30 12:42:31,Рекламировать питомца (пакет Mini),78
1547,Люськин дом,2019-09-30 12:42:31,"1 КотоДень",97
1547,Люськин дом,2019-09-30 12:42:31,Рекламировать питомца (пакет Mini),78
1547,Люськин дом,2019-09-30 12:42:31,"1 КотоДень",97
1547,Люськин дом,2019-09-30 12:42:31,"1 КотоДень",97
1547,Люськин дом,2019-09-30 12:42:31,Рекламировать питомца (пакет Mini),78
1547,"Приют для кошек ""Потеряшка""",2019-09-30 12:42:31,"1 КотоДень",104
1547,"Приют для кошек ""Потеряшка""",2019-09-30 12:42:31,Рекламировать питомца (пакет Mini),78
25208,"Самарский приют для животных ""НадеждА""",2019-09-30 12:44:04,"1 КотоДень",105
2065,Котофей,2019-09-30 12:45:46,"1 КотоДень",87
2065,Котофей,2019-09-30 12:45:46,Наполнитель для туалета,20
26738,"Приют для кошек ""Потеряшка""",2019-09-30 12:48:27,"1 КотоДень",104
26738,"Приют для кошек ""Потеряшка""",2019-09-30 12:48:27,Наполнитель для туалета,20
26738,"Кошачий приют ""ДОМИК""",2019-09-30 12:52:00,КотоДень,67
2877,"Приют для кошек ""Потеряшка""",2019-09-30 12:54:12,Порция вкуснейшего корма,39
2877,"Приют для кошек ""Потеряшка""",2019-09-30 12:54:12,Рекламировать питомца (пакет Mini),78
2877,"Приют для кошек ""Потеряшка""",2019-09-30 12:54:12,Рекламировать питомца (пакет Standart),155
27557,"Приют для кошек ""Потеряшка""",2019-09-30 12:54:55,"1 КотоДень",104
27557,"Приют для кошек ""Потеряшка""",2019-09-30 12:54:55,Рекламировать питомца (пакет Maxi),265
24497,"Приют для кошек ""Потеряшка""",2019-09-30 12:57:40,"1 КотоДень",104
24497,"Приют для кошек ""Потеряшка""",2019-09-30 12:57:40,Рекламировать питомца (пакет Maxi),265
27558,"Приют для кошек ""Потеряшка""",2019-09-30 12:58:19,"1 КотоДень",104
6090,"Приют для кошек ""Потеряшка""",2019-09-30 13:17:06,"1 КотоДень",104
2474,"Самарский приют для животных ""НадеждА""",2019-09-30 13:31:40,Избавить питомца от блох,547
2474,Мокрый нос,2019-09-30 13:31:40,"1 ПёсоДень",145
2474,"Приют для кошек ""Потеряшка""",2019-09-30 13:31:40,"1 КотоДень",104
2474,Лёхин дом,2019-09-30 13:31:40,Порция корма ,500
2474,Добрые сердца,2019-09-30 13:31:40,КотоДень,99
2474,"4 лапы",2019-09-30 13:31:40,ПёсоДень,155
3769,"Приют для кошек ""Потеряшка""",2019-09-30 13:49:20,"1 КотоДень",104
3769,Лёхин дом,2019-09-30 13:49:20,Порция корма ,100
2418,"Самарский приют для животных ""НадеждА""",2019-09-30 14:08:04,Профилактическое обследование,60
2418,"Самарский приют для животных ""НадеждА""",2019-09-30 14:08:04,Корм с курицей и рисом ,60
2418,Лёхин дом,2019-09-30 14:08:04,Биохимический анализ крови,60
3824,Люськин дом,2019-09-30 14:09:53,"1 КотоДень",97
26899,Добрые сердца,2019-09-30 14:33:07,Избавить кошку от простуды,100
5783,"Самарский приют для животных ""НадеждА""",2019-09-30 14:33:57,Профилактическое обследование,736
5783,Лёхин дом,2019-09-30 14:33:57,Порция корма ,534
5783,Лёхин дом,2019-09-30 14:33:57,Лечение дерматита,1880
5783,Лёхин дом,2019-09-30 14:33:57,Биохимический анализ крови,2099
5783,Добрые сердца,2019-09-30 14:33:57,Профилактическое обследование,587
5783,Добрые сердца,2019-09-30 14:33:57,Избавить питомца от блох,1150
4776,"Приют для кошек ""Потеряшка""",2019-09-30 14:45:35,"1 КотоДень",104
5783,"Самарский приют для животных ""НадеждА""",2019-09-30 15:02:14,Корм с курицей и рисом ,1354
5783,"Самарский приют для животных ""НадеждА""",2019-09-30 15:02:14,Избавить питомца от глистов,626
5783,"Приют для кошек ""Потеряшка""",2019-09-30 15:02:14,"1 КотоДень",104
5783,Добрые сердца,2019-09-30 15:02:14,Избавить питомца от глистов,391
5783,Добрые сердца,2019-09-30 15:02:14,Избавить питомца от глистов,391
5783,Добрые сердца,2019-09-30 15:02:14,Избавить кошку от простуды,1367
5783,Добрые сердца,2019-09-30 15:02:14,КотоДень,99
27617,Добрые сердца,2019-09-30 15:02:49,Избавить питомца от глистов,391
27617,Лаюшки и Мяушки,2019-09-30 15:02:49,ПёсоДень,155
5358,Лаюшки и Мяушки,2019-09-30 15:06:46,ПёсоДень,155
27602,Лаюшки и Мяушки,2019-09-30 15:06:54,ПёсоДень,155
26882,"Приют для кошек ""Потеряшка""",2019-09-30 15:12:50,"1 КотоДень",104
26090,"Самарский приют для животных ""НадеждА""",2019-09-30 15:13:14,Избавить питомца от блох,547
26090,"Самарский приют для животных ""НадеждА""",2019-09-30 15:13:14,Избавить питомца от глистов,626
26090,Добрые сердца,2019-09-30 15:13:14,КотоДень,99
26090,Добрые сердца,2019-09-30 15:13:14,КотоДень,99
26090,Лаюшки и Мяушки,2019-09-30 15:13:14,ПёсоНеделя,800
5685,"Приют для кошек ""Потеряшка""",2019-09-30 15:13:19,"1 КотоДень",104
5685,"Самарский приют для животных ""НадеждА""",2019-09-30 15:19:29,Избавить питомца от глистов,100
27685,"Приют для кошек ""Потеряшка""",2019-09-30 15:20:44,"1 КотоДень",104
6063,"Приют для кошек ""Потеряшка""",2019-09-30 15:21:01,"1 КотоДень",104
27152,"Приют для кошек ""Потеряшка""",2019-09-30 15:25:08,"1 КотоДень",104
22485,Люськин дом,2019-09-30 15:25:53,"1 КотоДень",97
24890,"Самарский приют для животных ""НадеждА""",2019-09-30 15:27:07,"1 КотоДень",105
24890,"Самарский приют для животных ""НадеждА""",2019-09-30 15:27:07,Биохимический анализ крови,104
24890,"Приют для кошек ""Потеряшка""",2019-09-30 15:27:07,"1 КотоДень",104
24890,Котофей,2019-09-30 15:27:07,"1 КотоДень",87
4010,Лаюшки и Мяушки,2019-09-30 15:30:30,ПёсоНеделя,800
2585,"Приют для кошек ""Потеряшка""",2019-09-30 15:31:22,"1 КотоДень",104
2585,"Приют для кошек ""Потеряшка""",2019-09-30 15:31:22,Порция вкуснейшего корма,39
26866,"Приют для кошек ""Потеряшка""",2019-09-30 15:32:12,"1 КотоДень",104
24890,Люськин дом,2019-09-30 15:36:13,"1 КотоДень",97
24890,"Приют для кошек ""Потеряшка""",2019-09-30 15:36:13,"1 КотоДень",104
24890,Убежище,2019-09-30 15:36:13,"1 КотоДень",118
23481,"Самарский приют для животных ""НадеждА""",2019-09-30 15:39:53,"1 КотоДень",105
23481,"Самарский приют для животных ""НадеждА""",2019-09-30 15:39:53,Наполнитель для туалета,20
23481,Убежище,2019-09-30 15:39:53,"1 КотоДень",118
23481,Убежище,2019-09-30 15:39:53,Наполнитель для туалета,20
23481,Добрые сердца,2019-09-30 15:39:53,КотоДень,99
23481,Лаюшки и Мяушки,2019-09-30 15:39:53,ПёсоДень,155
26296,"Приют для кошек ""Потеряшка""",2019-09-30 15:40:42,"1 КотоДень",104
4225,"Самарский приют для животных ""НадеждА""",2019-09-30 15:40:43,Избавить питомца от блох,547
4225,"Самарский приют для животных ""НадеждА""",2019-09-30 15:40:43,Избавить питомца от глистов,626
27772,"Самарский приют для животных ""НадеждА""",2019-09-30 15:42:30,"1 КотоДень",105
5636,"Приют для кошек ""Потеряшка""",2019-09-30 15:42:43,"1 КотоДень",104
5636,"Приют для кошек ""Потеряшка""",2019-09-30 15:42:43,Наполнитель для туалета,20
5636,Котофей,2019-09-30 15:42:43,"1 КотоДень",87
5636,Котофей,2019-09-30 15:42:43,Наполнитель для туалета,20
27849,"Приют для кошек ""Потеряшка""",2019-09-30 15:43:03,"1 КотоДень",104
28025,"Приют для кошек ""Потеряшка""",2019-09-30 15:43:44,"1 КотоДень",104
27216,Лаюшки и Мяушки,2019-09-30 15:45:13,ПёсоДень,155
28003,"Приют для кошек ""Потеряшка""",2019-09-30 15:45:27,"1 КотоДень",104
25152,Мокрый нос,2019-09-30 15:45:48,Рекламировать питомца (пакет Mini),78
25152,"Приют для кошек ""Потеряшка""",2019-09-30 15:45:48,"1 КотоДень",104
25152,"Приют для кошек ""Потеряшка""",2019-09-30 15:45:48,Наполнитель для туалета,20
25152,"Приют для кошек ""Потеряшка""",2019-09-30 15:45:48,Рекламировать питомца (пакет Mini),78
25152,Добрые сердца,2019-09-30 15:45:48,КотоДень,99
25152,Добрые сердца,2019-09-30 15:45:48,Рекламировать питомца (пакет Mini),78
25152,"4 лапы",2019-09-30 15:45:48,Рекламировать питомца (пакет Mini),78
25152,Лаюшки и Мяушки,2019-09-30 15:45:48,Избавить питомца от глистов,100
25394,Котофей,2019-09-30 15:45:56,"1 КотоНеделя",723
4225,"Самарский приют для животных ""НадеждА""",2019-09-30 15:46:09,"1 КотоНеделя",870
3662,Мокрый нос,2019-09-30 15:46:41,"1 ПёсоНеделя",887
27825,Котофей,2019-09-30 15:47:00,"1 КотоДень",87
27825,Добрые сердца,2019-09-30 15:47:00,КотоДень,99
27563,"Приют для кошек ""Потеряшка""",2019-09-30 15:48:00,"1 КотоНеделя",870
22710,"Приют для кошек ""Потеряшка""",2019-09-30 15:48:00,"1 КотоДень",104
25768,"Приют для кошек ""ЯрКот""",2019-09-30 15:52:02,"1 КотоДень",88
25768,"Приют для кошек ""ЯрКот""",2019-09-30 15:52:02,Наполнитель для туалета,20
25768,Лаюшки и Мяушки,2019-09-30 15:52:02,ПёсоДень,155
26275,Кот и Пёс,2019-09-30 15:54:30,ПёсоДень,155
26275,"Приют для кошек ""Потеряшка""",2019-09-30 15:54:30,Порция вкуснейшего корма,39
26275,Лёхин дом,2019-09-30 15:54:30,Порция корма ,48
26329,"Приют для кошек ""Потеряшка""",2019-09-30 15:55:12,"1 КотоДень",104
26329,"Приют для кошек ""Потеряшка""",2019-09-30 15:55:12,Рекламировать питомца (пакет Mini),78
26341,"Приют для кошек ""Потеряшка""",2019-09-30 15:55:58,"1 КотоДень",104
5114,Матроскин,2019-09-30 15:56:51,КотоДень,98
25768,Мокрый нос,2019-09-30 15:58:06,"1 ПёсоДень",145
27886,"Приют для кошек ""Потеряшка""",2019-09-30 15:58:16,Порция вкуснейшего корма,39
25422,Лаюшки и Мяушки,2019-09-30 16:01:50,ПёсоДень,155
25422,Лаюшки и Мяушки,2019-09-30 16:01:50,Рекламировать питомца (пакет Mini),137
27779,"Приют для кошек ""Потеряшка""",2019-09-30 16:05:45,"1 КотоДень",104
27152,Люськин дом,2019-09-30 16:10:06,"1 КотоДень",97
27898,"Приют для кошек ""ЯрКот""",2019-09-30 16:10:25,"1 КотоДень",88
27898,Добрые сердца,2019-09-30 16:10:25,КотоДень,99
5815,"Приют для кошек ""Потеряшка""",2019-09-30 16:14:02,"1 КотоДень",104
5815,Добрые сердца,2019-09-30 16:14:02,Избавить питомца от глистов,391
28045,"Приют для кошек ""Потеряшка""",2019-09-30 16:21:56,"1 КотоДень",104
28045,"Приют для кошек ""Потеряшка""",2019-09-30 16:21:56,Рекламировать питомца (пакет Maxi),265
26007,Лаюшки и Мяушки,2019-09-30 16:23:01,ПёсоДень,155
1673,"Приют для кошек ""Потеряшка""",2019-09-30 16:27:50,"1 КотоДень",104
27031,"Приют для кошек ""Потеряшка""",2019-09-30 16:36:45,"1 КотоДень",104
4023,"Приют для кошек ""Потеряшка""",2019-09-30 16:40:57,Рекламировать питомца (пакет Mini),78
28039,"Самарский приют для животных ""НадеждА""",2019-09-30 16:43:47,Наполнитель для туалета,20
4023,"Самарский приют для животных ""НадеждА""",2019-09-30 16:44:25,Избавить питомца от блох,200
25849,"Самарский приют для животных ""НадеждА""",2019-09-30 16:53:03,Избавить питомца от блох,147
28039,Добрые сердца,2019-09-30 16:53:47,Порция вкуснейшего корма,36
28036,"Приют для кошек ""Потеряшка""",2019-09-30 16:54:49,"1 КотоДень",104
25970,Лаюшки и Мяушки,2019-09-30 17:14:10,ПёсоНеделя,800
25970,Лаюшки и Мяушки,2019-09-30 17:14:10,Рекламировать питомца (пакет Standart),270
27137,Добрые сердца,2019-09-30 17:14:15,Избавить питомца от глистов,50
25806,Лаюшки и Мяушки,2019-09-30 17:15:41,ПёсоНеделя,800
25383,"Самарский приют для животных ""НадеждА""",2019-09-30 17:33:30,Повысить иммунитет,150
25383,"Самарский приют для животных ""НадеждА""",2019-09-30 17:33:30,Избавить питомца от блох,147
25383,Мокрый нос,2019-09-30 17:33:30,"1 ПёсоДень",145
25383,"Кошачий приют ""ДОМИК""",2019-09-30 17:33:30,КотоДень,67
25383,"Кошачий приют ""ДОМИК""",2019-09-30 17:33:30,Наполнитель для туалета,20
25383,Добрые сердца,2019-09-30 17:33:30,Избавить питомца от глистов,100
25383,Добрые сердца,2019-09-30 17:33:30,КотоДень,99
25383,"4 лапы",2019-09-30 17:33:30,ПёсоДень,155
5870,Убежище,2019-09-30 17:34:17,Дневная порция вкуснейшего корма,98
5870,Котофей,2019-09-30 17:34:17,"1 КотоДень",87
26864,"Приют для кошек ""Потеряшка""",2019-09-30 17:39:27,"1 КотоНеделя",870
23897,"Приют для кошек ""Потеряшка""",2019-09-30 18:00:34,"1 КотоДень",104
5477,"Приют для кошек ""Потеряшка""",2019-09-30 18:03:11,"1 КотоДень",104
27391,"Приют для кошек ""Потеряшка""",2019-09-30 18:18:07,"1 КотоДень",104
26314,"Приют для кошек ""Потеряшка""",2019-09-30 18:19:42,"1 КотоДень",104
26757,"Приют для кошек ""Потеряшка""",2019-09-30 18:33:32,"1 КотоДень",104
26757,Котофей,2019-09-30 18:33:32,"1 КотоДень",87
23430,"Самарский приют для животных ""НадеждА""",2019-09-30 18:34:54,Избавить питомца от глистов,150
23430,"Приют для кошек ""Потеряшка""",2019-09-30 18:34:54,"1 КотоДень",104
26757,Кот и Пёс,2019-09-30 18:40:29,КотоДень,94
26757,Кот и Пёс,2019-09-30 18:40:29,Наполнитель для туалета,20
26757,Добрые сердца,2019-09-30 18:40:29,КотоДень,99
26757,Добрые сердца,2019-09-30 18:40:29,Избавить питомца от глистов,100
27858,"Приют для кошек ""Потеряшка""",2019-09-30 18:41:36,"1 КотоДень",104
5688,"Самарский приют для животных ""НадеждА""",2019-09-30 18:44:56,Избавить питомца от глистов,50
5688,"Самарский приют для животных ""НадеждА""",2019-09-30 18:44:56,Избавить питомца от блох,50
5688,"Самарский приют для животных ""НадеждА""",2019-09-30 18:44:56,Избавить питомца от блох,50
5688,"Самарский приют для животных ""НадеждА""",2019-09-30 18:44:56,Биохимический анализ крови,50
5688,"Самарский приют для животных ""НадеждА""",2019-09-30 18:44:56,Избавить питомца от блох,50
5688,"Самарский приют для животных ""НадеждА""",2019-09-30 18:44:56,Избавить питомца от блох,50
5688,"Самарский приют для животных ""НадеждА""",2019-09-30 18:44:56,Избавить питомца от глистов,50
5688,"Самарский приют для животных ""НадеждА""",2019-09-30 18:44:56,Избавить питомца от блох,50
5688,Мокрый нос,2019-09-30 18:44:56,"1 ПёсоДень",145
5688,"Приют для кошек ""Потеряшка""",2019-09-30 18:44:56,"1 КотоДень",104
5688,Добрые сердца,2019-09-30 18:44:56,Избавить питомца от глистов,50
5688,Добрые сердца,2019-09-30 18:44:56,Избавить питомца от глистов,50
5688,Добрые сердца,2019-09-30 18:44:56,КотоДень,99
5688,"4 лапы",2019-09-30 18:44:56,ПёсоДень,155
5688,Лаюшки и Мяушки,2019-09-30 18:44:56,ПёсоДень,155
5688,Лаюшки и Мяушки,2019-09-30 18:44:56,Избавить питомца от глистов,50
25016,Лаюшки и Мяушки,2019-09-30 18:47:22,ПёсоДень,155
2494,"Приют для кошек ""Потеряшка""",2019-09-30 18:55:45,Порция вкуснейшего корма,39
27459,"Самарский приют для животных ""НадеждА""",2019-09-30 19:28:18,Избавить питомца от глистов,50
27069,"Приют для кошек ""Потеряшка""",2019-09-30 19:42:33,"1 КотоДень",104
28049,Мокрый нос,2019-09-30 19:46:00,"1 ПёсоДень",145
3300,Центральный приют Спб для бездомных кошек!,2019-09-30 19:57:25,Профилактическое обследование,100
3300,Котофей,2019-09-30 19:57:25,"1 КотоДень",87
24506,Лаюшки и Мяушки,2019-09-30 20:01:06,Рекламировать питомца (пакет Mini),137
28002,Добрые сердца,2019-09-30 20:03:52,КотоДень,99
24775,Добрые сердца,2019-09-30 20:46:59,Избавить питомца от глистов,391
24775,Добрые сердца,2019-09-30 20:46:59,Избавить питомца от глистов,391
24775,Добрые сердца,2019-09-30 20:46:59,Избавить питомца от глистов,391
24775,Добрые сердца,2019-09-30 20:46:59,Избавить питомца от глистов,191
24775,Добрые сердца,2019-09-30 20:46:59,Избавить питомца от глистов,391
24775,Добрые сердца,2019-09-30 20:46:59,Избавить питомца от глистов,341
26342,"Кошачий приют ""ДОМИК""",2019-09-30 20:47:52,КотоДень,67
26342,"Кошачий приют ""ДОМИК""",2019-09-30 20:47:52,Наполнитель для туалета,20
26342,Лаюшки и Мяушки,2019-09-30 20:47:52,ПёсоДень,155
5650,"Приют для кошек ""Потеряшка""",2019-09-30 20:48:15,"1 КотоДень",104
5650,"Приют для кошек ""Потеряшка""",2019-09-30 20:48:15,Рекламировать питомца (пакет Maxi),265
24775,Добрые сердца,2019-09-30 20:50:00,Порция вкуснейшего корма,36
28050,"Приют для кошек ""ЯрКот""",2019-09-30 21:17:00,Наполнитель для туалета,20
28050,"Приют для кошек ""ЯрКот""",2019-09-30 21:21:31,"1 КотоДень",88
